date,AQI,PM2.5,PM10,SO2,CO,NO2,O3_8h
2014-04-19,83,61,84,15,0.8,65,87
2014-04-20,81,60,80,7,0.6,54,99
2014-04-21,67,48,79,7,0.6,56,107
2014-04-22,86,58,101,9,0.6,54,143
2014-04-23,151,116,147,21,0.9,41,145
2014-04-24,151,115,133,19,0.9,47,140
2014-04-25,171,129,190,20,1,69,153
2014-04-26,66,37,82,4,0.4,28,86
2014-04-27,73,51,93,6,0.6,48,127
2014-04-28,84,61,98,8,0.7,49,141
2014-04-29,118,89,143,17,0.9,68,175
2014-04-30,136,103,158,19,1,67,200
2014-05-01,159,121,186,19,0.8,41,161
2014-05-02,48,23,46,3,0.3,21,95
2014-05-03,89,38,127,6,0.4,43,93
2014-05-04,55,26,59,3,0.3,17,87
2014-05-05,51,23,53,4,0.4,36,99
2014-05-06,99,74,124,27,0.9,61,117
2014-05-07,85,63,102,12,0.9,45,103
2014-05-08,99,74,107,16,1,46,157
2014-05-09,83,61,106,33,1.3,52,119
2014-05-10,69,50,87,27,1.2,50,107
2014-05-11,46,24,20,3,0.8,29,92
2014-05-12,77,34,68,7,0.6,44,132
2014-05-13,87,52,124,10,0.7,57,109
2014-05-14,56,17,63,7,0.3,26,94
2014-05-15,115,59,181,7,0.5,61,107
2014-05-16,86,45,121,10,0.6,49,128
2014-05-17,122,56,120,25,1,60,184
2014-05-18,171,77,142,23,0.9,56,236
2014-05-19,145,106,158,15,1,45,210
2014-05-20,105,79,130,9,0.9,46,157
2014-05-21,169,107,168,25,1.5,53,234
2014-05-22,180,136,196,37,1.4,61,202
2014-05-23,140,81,156,20,0.8,55,204
2014-05-24,101,76,80,6,1,46,143
2014-05-25,88,65,114,2,0.7,29,95
2014-05-26,76,22,77,5,0.4,55,131
2014-05-27,97,35,145,4,0.4,42,103
2014-05-28,115,30,87,8,0.6,55,176
2014-05-29,119,42,115,10,0.7,60,181
2014-05-30,205,84,171,37,1.6,53,294
2014-05-31,195,114,215,45,2.1,58,260
2014-06-01,164,44,55,2,0.6,26,229
2014-06-02,93,26,43,2,0.4,26,152
2014-06-03,117,33,61,13,0.6,41,179
2014-06-04,123,53,89,9,0.8,45,185
2014-06-05,143,58,93,11,0.8,41,207
2014-06-06,67,49,71,12,1.1,39,75
2014-06-07,50,9,26,2,0.3,27,100
2014-06-08,63,27,58,7,0.7,54,116
2014-06-09,82,27,53,6,0.6,43,138
2014-06-10,89,67,85,6,1.2,42,115
2014-06-11,71,40,41,3,0.7,32,125
2014-06-12,86,24,56,6,0.5,39,143
2014-06-13,117,48,84,8,0.9,41,179
2014-06-14,159,38,68,3,0.6,38,224
2014-06-15,176,101,145,14,1.2,49,241
2014-06-16,165,126,149,3,1,41,203
2014-06-17,116,88,107,3,0.9,35,170
2014-06-18,115,61,72,4,0.7,36,176
2014-06-19,158,121,132,5,1.2,45,159
2014-06-20,86,44,38,2,0.8,27,143
2014-06-21,95,65,63,5,1,34,154
2014-06-22,89,29,41,2,0.6,31,147
2014-06-23,111,23,44,2,0.5,38,172
2014-06-24,158,49,87,6,0.7,52,223
2014-06-25,134,102,125,10,1.2,48,170
2014-06-26,167,127,51,4,1.1,33,207
2014-06-27,74,19,40,3,0.4,34,129
2014-06-28,67,19,45,5,0.4,42,120
2014-06-29,154,42,84,11,1,52,219
2014-06-30,179,73,120,15,1.2,53,244
2014-07-01,117,89,136,17,1,49,160
2014-07-02,77,55,57,3,0.9,28,132
2014-07-03,240,190,103,5,1.3,40,164
2014-07-04,238,188,128,4,1.3,40,199
2014-07-05,163,124,100,4,1.1,38,188
2014-07-06,252,202,155,8,1.4,36,206
2014-07-07,215,165,185,9,1.2,41,195
2014-07-08,138,106,123,9,0.9,40,154
2014-07-09,60,25,69,6,0.6,55,107
2014-07-10,113,27,80,8,0.5,40,174
2014-07-11,81,28,67,5,0.5,40,137
2014-07-12,78,12,35,2,0.3,31,134
2014-07-13,63,16,52,3,0.4,40,115
2014-07-14,154,26,64,4,0.5,43,219
2014-07-15,140,50,106,7,0.6,28,204
2014-07-16,114,86,111,4,0.8,42,170
2014-07-17,175,132,135,4,1.8,41,139
2014-07-18,188,142,107,7,1.7,38,209
2014-07-19,109,82,102,3,0.8,33,168
2014-07-20,118,67,91,4,0.7,26,180
2014-07-21,83,26,43,5,0.5,24,140
2014-07-22,39,12,37,7,0.5,40,78
2014-07-23,62,26,74,6,0.7,59,84
2014-07-24,82,61,112,6,1,68,110
2014-07-25,133,64,91,7,1.2,43,196
2014-07-26,192,94,135,10,1.2,41,257
2014-07-27,197,107,154,18,1,35,262
2014-07-28,160,122,156,9,0.9,33,218
2014-07-29,165,125,149,5,0.8,28,191
2014-07-30,157,120,68,3,1.4,28,170
2014-07-31,245,195,76,3,1.6,36,209
2014-08-01,200,150,128,3,1.3,35,198
2014-08-02,163,124,132,3,1.1,39,220
2014-08-03,145,111,139,2,1,39,174
2014-08-04,46,31,43,3,0.6,36,92
2014-08-05,81,24,50,5,0.6,37,137
2014-08-06,57,31,64,3,0.6,46,106
2014-08-07,160,62,92,10,1.1,45,225
2014-08-08,138,64,103,8,1.1,45,202
2014-08-09,144,80,123,9,1.1,40,208
2014-08-10,125,32,49,3,0.6,33,187
2014-08-11,80,24,48,3,0.5,40,136
2014-08-12,115,25,58,6,0.6,45,177
2014-08-13,80,26,35,2,0.6,34,136
2014-08-14,103,29,44,4,0.6,39,163
2014-08-15,105,35,69,4,0.6,49,166
2014-08-16,157,55,92,6,0.9,49,222
2014-08-17,125,53,88,5,0.8,32,187
2014-08-18,136,57,84,6,0.8,38,200
2014-08-19,150,84,119,6,1,40,215
2014-08-20,166,104,146,14,1.1,41,231
2014-08-21,167,126,169,9,1.1,49,232
2014-08-22,108,51,80,3,0.8,58,169
2014-08-23,153,107,137,5,1.1,55,218
2014-08-24,93,17,38,4,0.4,27,151
2014-08-25,57,16,42,4,0.4,36,108
2014-08-26,75,23,66,5,0.5,56,130
2014-08-27,135,47,107,8,0.7,59,198
2014-08-28,103,77,119,7,0.9,54,135
2014-08-29,98,74,82,4,1,35,158
2014-08-30,170,129,148,4,1.5,58,115
2014-08-31,86,64,49,2,1,30,137
2014-09-01,125,95,83,3,1.6,45,95
2014-09-02,43,20,15,2,0.8,31,85
2014-09-03,58,15,35,5,0.6,38,110
2014-09-04,98,40,91,5,0.8,61,158
2014-09-05,141,86,138,9,1,51,205
2014-09-06,183,138,161,12,1.4,39,185
2014-09-07,200,150,182,10,1.3,44,168
2014-09-08,73,14,30,4,0.3,24,128
2014-09-09,108,36,83,5,0.6,49,169
2014-09-10,109,63,111,11,1.1,57,170
2014-09-11,109,82,124,16,1.4,64,109
2014-09-12,97,73,54,4,1,51,84
2014-09-13,92,67,96,7,0.8,49,150
2014-09-14,66,42,77,3,0.5,48,119
2014-09-15,48,18,48,5,0.4,36,80
2014-09-16,70,38,91,5,0.6,66,52
2014-09-17,70,51,88,4,0.7,61,57
2014-09-18,84,62,94,4,0.7,59,130
2014-09-19,111,84,119,7,0.9,60,121
2014-09-20,158,120,124,5,1.2,53,162
2014-09-21,131,100,119,15,1.7,46,111
2014-09-22,123,94,108,11,2,59,93
2014-09-23,66,48,22,2,1.1,40,19
2014-09-24,48,34,40,2,0.8,45,78
2014-09-25,140,107,130,3,1.3,53,59
2014-09-26,163,124,103,9,1.6,62,50
2014-09-27,43,30,36,3,0.6,42,81
2014-09-28,78,56,107,8,1.2,67,46
2014-09-29,70,51,77,4,0.9,38,65
2014-09-30,51,24,52,7,0.6,39,41
2014-10-01,89,66,77,4,1,57,24
2014-10-02,74,55,51,4,1,46,39
2014-10-03,118,89,108,4,1.6,52,19
2014-10-04,100,75,48,2,1.1,39,52
2014-10-05,42,30,40,2,0.7,30,67
2014-10-06,50,25,50,3,0.5,47,69
2014-10-07,185,140,181,12,1.3,86,83
2014-10-08,309,259,292,10,2.1,102,54
2014-10-09,381,331,353,6,2.3,92,74
2014-10-10,350,300,269,13,2.4,85,101
2014-10-11,240,190,126,7,1.8,61,68
2014-10-12,28,6,9,3,0.2,22,55
2014-10-13,31,13,31,4,0.3,34,54
2014-10-14,69,43,88,8,0.7,61,57
2014-10-15,75,43,99,4,0.6,44,67
2014-10-16,72,34,94,8,0.6,55,72
2014-10-17,123,94,176,11,1.2,104,58
2014-10-18,202,152,229,17,2,115,115
2014-10-19,293,243,313,12,2.5,119,58
2014-10-20,248,198,212,5,1.6,74,56
2014-10-21,66,34,81,19,1.2,57,30
2014-10-22,95,71,136,11,1.3,75,9
2014-10-23,155,118,176,13,1.5,85,24
2014-10-24,267,217,265,11,2.1,88,69
2014-10-25,341,291,327,6,2.4,87,79
2014-10-26,80,59,62,3,0.7,40,63
2014-10-27,56,25,61,11,0.7,52,40
2014-10-28,81,60,106,12,1,69,33
2014-10-29,138,105,161,13,1.3,89,41
2014-10-30,205,155,194,17,1.7,99,24
2014-10-31,202,152,180,10,2.1,89,14
2014-11-01,78,57,86,6,1.1,49,49
2014-11-02,29,7,25,4,0.3,23,57
2014-11-03,52,24,54,5,0.7,44,69
2014-11-04,124,94,134,16,1.4,70,41
2014-11-05,102,76,98,7,1.2,51,59
2014-11-06,32,9,20,3,0.3,21,63
2014-11-07,59,42,68,13,1.2,48,25
2014-11-08,90,67,85,10,1.4,55,52
2014-11-09,79,58,78,7,1.1,57,55
2014-11-10,91,68,87,9,1.3,67,37
2014-11-11,58,34,67,4,0.7,31,52
2014-11-12,41,5,41,3,0.2,10,68
2014-11-13,45,22,45,7,0.7,47,60
2014-11-14,55,33,60,15,1,57,38
2014-11-15,122,93,137,31,2,84,8
2014-11-16,100,75,109,16,1.6,55,51
