date,AQI,PM2.5,PM10,SO2,CO,NO2,O3_8h
2015-08-03,82,60,33,4,1.1,33,101
2015-08-04,110,21,54,4,0.5,32,171
2015-08-05,127,64,102,3,1,40,189
2015-08-06,119,58,95,2,0.8,31,180
2015-08-07,119,90,0,4,1.1,33,167
2015-08-08,110,40,72,3,0.7,34,171
2015-08-09,152,53,85,3,0.8,37,217
2015-08-10,112,42,80,2,0.7,38,173
2015-08-11,175,91,128,6,1.4,36,240
2015-08-12,161,81,129,4,1,36,226
2015-08-13,202,120,160,7,1.3,41,275
2015-08-14,119,58,95,4,0.8,35,180
2015-08-15,80,22,54,3,0.6,36,135
2015-08-16,201,38,89,6,0.7,40,270
2015-08-17,145,80,161,8,1,40,209
2015-08-18,90,48,82,3,0.8,34,147
2015-08-19,97,51,65,2,0.8,38,156
2015-08-20,100,33,51,2,0.6,26,160
2015-08-21,94,14,37,2,0.4,25,152
2015-08-22,56,17,38,4,0.6,20,107
2015-08-23,53,21,33,4,0.8,23,103
2015-08-24,55,13,28,2,0.5,22,106
2015-08-25,50,14,27,2,0.5,23,99
2015-08-26,61,12,27,2,0.4,23,113
2015-08-27,60,12,26,2,0.4,25,111
2015-08-28,70,16,38,3,0.5,24,124
2015-08-29,118,28,48,2,0.6,21,179
2015-08-30,74,28,32,2,0.9,25,128
2015-08-31,37,25,29,2,0.7,25,73
2015-09-01,34,11,20,2,0.5,20,67
2015-09-02,44,10,19,2,0.4,20,87
2015-09-03,74,15,30,2,0.5,19,128
2015-09-04,64,46,0,3,1.5,26,101
2015-09-05,44,18,20,2,0.7,23,88
2015-09-06,63,17,34,2,0.5,30,115
2015-09-07,84,25,44,3,0.7,38,140
2015-09-08,104,52,82,6,0.9,53,164
2015-09-09,50,32,50,3,0.7,40,94
2015-09-10,37,8,14,2,0.4,29,41
2015-09-11,35,9,16,2,0.4,26,69
2015-09-12,34,9,24,2,0.4,27,68
2015-09-13,57,20,51,3,0.6,45,105
2015-09-14,89,66,105,10,0.9,58,145
2015-09-15,140,105,134,13,1.2,62,204
2015-09-16,169,128,152,8,1.2,62,180
2015-09-17,201,151,166,10,1.3,69,181
2015-09-18,102,76,77,3,0.9,49,110
2015-09-19,69,23,51,3,0.6,55,95
2015-09-20,114,86,112,9,1,51,146
2015-09-21,133,101,134,17,1.3,67,176
2015-09-22,179,135,0,10,1.5,60,108
2015-09-23,57,32,60,2,0.7,45,98
2015-09-24,124,94,102,4,1.2,53,121
2015-09-25,49,22,44,3,0.6,39,82
2015-09-26,74,34,72,7,0.7,48,128
2015-09-27,73,48,85,3,0.7,58,113
2015-09-28,68,49,62,4,1.3,46,59
2015-09-29,62,44,0,3,1.1,45,20
2015-09-30,48,30,0,3,0.7,38,48
2015-10-01,33,14,29,2,0.3,25,65
2015-10-02,59,30,68,3,0.6,47,88
2015-10-03,62,28,69,4,0.7,49,85
2015-10-04,149,114,155,10,1.3,77,125
2015-10-05,272,222,244,9,1.7,80,180
2015-10-06,343,293,327,7,2,84,200
2015-10-07,310,260,83,8,1.8,76,128
2015-10-08,35,11,28,2,0.3,23,70
2015-10-09,39,16,39,3,0.4,29,64
2015-10-10,27,8,23,2,0.3,17,54
2015-10-11,37,10,25,2,0.3,21,73
2015-10-12,60,18,47,3,0.5,48,70
2015-10-13,84,35,73,6,0.8,67,68
2015-10-14,135,103,147,16,2,96,66
2015-10-15,143,109,147,9,1.4,91,123
2015-10-16,253,203,236,13,2.1,111,159
2015-10-17,344,294,0,13,2.5,119,97
2015-10-18,64,46,68,7,0.8,41,50
2015-10-19,78,57,103,6,0.9,61,46
2015-10-20,99,74,113,9,1.4,65,15
2015-10-21,70,51,77,2,0.9,41,28
2015-10-22,54,29,49,2,0.7,43,25
2015-10-23,74,54,77,3,0.9,53,45
2015-10-24,75,55,76,6,1,53,51
2015-10-25,74,37,84,10,0.9,59,23
2015-10-26,63,28,75,2,0.5,29,51
2015-10-27,48,15,48,3,0.5,37,52
2015-10-28,30,8,20,3,0.3,24,57
2015-10-29,30,7,22,3,0.3,20,59
2015-10-30,58,25,52,4,0.7,46,44
2015-10-31,73,43,70,5,0.8,58,42
2015-11-01,98,72,106,7,1,78,39
2015-11-02,102,76,116,8,1.4,78,44
2015-11-03,199,149,181,16,1.9,90,63
2015-11-04,260,210,0,15,2,108,29
2015-11-05,144,110,0,6,1,53,26
2015-11-06,37,20,9,2,0.5,29,38
2015-11-07,37,19,0,2,0.5,29,41
2015-11-08,82,60,89,3,0.9,46,37
2015-11-09,163,124,0,4,1.6,56,7
2015-11-10,175,132,0,4,1.6,55,5
2015-11-11,137,104,0,4,1.9,55,11
2015-11-12,205,155,136,6,2.5,60,3
2015-11-13,258,208,188,15,3.1,70,4
2015-11-14,324,274,298,17,3.6,83,11
2015-11-15,246,196,0,13,3.2,70,31
2015-11-16,79,58,85,10,1.5,52,18
2015-11-17,82,60,86,7,1.5,45,21
2015-11-18,92,68,90,7,1.1,45,9
2015-11-19,102,76,0,4,1.7,45,2
2015-11-20,88,65,0,9,2.3,43,3
2015-11-21,60,43,0,7,2.1,41,4
2015-11-22,69,50,0,7,1,39,33
2015-11-23,39,27,37,10,0.7,28,51
2015-11-24,65,45,0,8,1.1,52,41
2015-11-25,69,50,22,9,1.1,37,52
2015-11-26,55,38,60,11,0.9,37,56
2015-11-27,264,214,245,36,2.9,93,15
2015-11-28,308,258,254,44,4,102,13
2015-11-29,302,252,0,38,4.9,108,21
2015-11-30,450,343,550,24,6,124,11
2015-12-01,476,464,454,35,7.9,133,9
2015-12-02,24,7,22,3,0.3,16,47
2015-12-03,33,10,33,5,0.4,16,47
2015-12-04,54,31,58,12,0.9,43,46
2015-12-05,77,49,85,17,1.4,61,40
2015-12-06,175,132,162,32,2.8,88,11
2015-12-07,230,180,199,36,3.5,93,9
2015-12-08,295,245,246,20,4.3,92,7
2015-12-09,294,244,10,32,3.6,94,9
2015-12-10,127,96,47,15,1.8,52,55
2015-12-11,75,48,86,15,1.4,60,35
2015-12-12,172,130,174,23,2.8,86,12
2015-12-13,229,179,219,39,3.9,98,12
2015-12-14,207,157,27,16,2.7,75,44
2015-12-15,28,7,13,3,0.4,16,56
2015-12-16,23,8,14,4,0.5,18,45
2015-12-17,84,62,91,18,1.6,62,26
2015-12-18,80,58,85,18,1.8,64,35
2015-12-19,168,127,155,29,3,87,12
2015-12-20,249,199,194,27,3.6,101,10
2015-12-21,280,230,284,23,4.1,104,12
2015-12-22,347,297,427,29,5.3,103,10
2015-12-23,305,255,298,21,4.7,104,32
2015-12-24,209,159,275,18,2.7,80,40
2015-12-25,485,477,510,12,7.3,141,13
2015-12-26,315,265,381,9,4.9,102,10
2015-12-27,75,49,100,13,1.2,53,24
2015-12-28,149,114,175,23,2.3,79,16
2015-12-29,329,279,338,34,4.4,119,9
2015-12-30,104,78,39,11,1.5,54,56
2015-12-31,90,66,128,16,1.8,72,25
2016-01-01,226,176,199,33,3.4,106,12
2016-01-02,316,266,299,35,4.6,124,16
2016-01-03,297,247,296,20,3.5,83,22
2016-01-04,53,37,23,6,0.9,33,59
2016-01-05,63,34,76,11,0.9,38,50
2016-01-06,44,25,40,10,0.9,35,54
2016-01-07,35,13,22,6,0.6,28,54
2016-01-08,54,35,55,13,0.9,43,51
2016-01-09,102,76,102,23,1.9,74,26
2016-01-10,69,46,61,20,1.5,55,35
2016-01-11,32,11,22,6,0.6,25,59
2016-01-12,38,14,27,8,0.7,30,55
2016-01-13,62,26,48,14,1,49,47
2016-01-14,98,73,98,27,1.9,73,40
2016-01-15,132,100,127,33,2.6,84,25
2016-01-16,162,123,137,44,2.5,71,15
2016-01-17,53,37,25,9,0.8,29,68
2016-01-18,45,10,45,4,0.5,18,62
2016-01-19,84,62,90,23,1.7,62,39
2016-01-20,153,117,141,56,3.4,78,11
2016-01-21,173,131,130,28,2.7,68,12
2016-01-22,33,13,33,4,0.6,16,65
2016-01-23,47,9,47,4,0.6,12,63
2016-01-24,47,13,47,6,0.6,24,60
2016-01-25,54,28,48,17,0.8,43,50
2016-01-26,56,35,62,18,0.8,37,58
2016-01-27,129,98,112,38,2.2,79,27
2016-01-28,159,121,139,44,2.3,80,37
2016-01-29,84,62,80,36,1.8,55,28
2016-01-30,69,50,65,21,1.3,48,40
2016-01-31,38,18,26,10,0.6,30,66
2016-02-01,40,13,24,9,0.6,32,68
2016-02-02,62,29,40,16,0.9,49,55
2016-02-03,69,35,48,19,1.2,55,43
2016-02-04,36,13,24,8,0.5,23,71
2016-02-05,38,10,32,6,0.4,16,76
2016-02-06,45,31,45,14,0.8,36,70
2016-02-07,69,50,85,23,0.9,38,74
2016-02-08,238,188,263,53,1,37,74
2016-02-09,60,43,53,20,1.1,41,82
2016-02-10,128,97,115,50,2.5,65,50
2016-02-11,202,152,168,42,3,68,26
2016-02-12,192,144,100,18,2.2,54,41
2016-02-13,34,9,14,5,0.3,12,68
2016-02-14,36,7,16,3,0.4,11,72
2016-02-15,46,7,46,4,0.3,14,71
2016-02-16,38,8,36,5,0.3,18,76
2016-02-17,64,46,44,16,1.1,48,73
2016-02-18,42,14,32,5,0.4,22,83
2016-02-19,40,15,33,5,0.5,26,79
2016-02-20,40,16,24,6,0.5,22,79
2016-02-21,108,81,107,26,1.5,57,55
2016-02-22,92,68,74,16,1.1,40,80
2016-02-23,41,11,18,5,0.4,17,81
2016-02-24,49,26,49,9,0.7,35,70
2016-02-25,45,25,44,10,0.7,36,61
2016-02-26,55,36,60,14,0.8,40,69
2016-02-27,45,22,35,9,0.6,36,71
2016-02-28,48,31,48,7,0.8,33,79
2016-02-29,53,35,47,12,0.7,42,70
2016-03-01,158,120,136,30,1.9,85,50
2016-03-02,212,162,190,32,2.5,110,62
2016-03-03,333,283,283,46,3.5,119,50
2016-03-04,365,315,414,47,4.3,113,22
2016-03-05,170,58,290,3,0.4,23,78
2016-03-06,116,73,182,28,1.6,68,41
2016-03-07,70,34,89,10,0.9,33,84
2016-03-08,39,10,25,3,0.4,16,77
2016-03-09,37,10,26,4,0.4,16,73
2016-03-10,49,11,49,4,0.4,18,75
2016-03-11,51,24,52,8,0.6,36,76
2016-03-12,144,110,138,40,1.8,82,44
2016-03-13,48,30,48,9,0.6,32,92
2016-03-14,103,77,118,21,1.3,64,72
2016-03-15,190,143,198,47,1.6,79,56
2016-03-16,300,250,261,38,2.2,89,120
2016-03-17,338,288,298,31,2.3,103,106
2016-03-18,227,177,55,12,1.4,64,112
2016-03-19,88,65,113,17,1,44,76
2016-03-20,89,66,113,10,1,62,86
2016-03-21,163,124,179,21,1.2,80,116
2016-03-22,138,105,207,25,1.4,75,68
2016-03-23,43,16,37,4,0.5,26,85
2016-03-24,44,13,24,3,0.4,31,87
2016-03-25,48,17,38,4,0.5,38,89
2016-03-26,45,12,29,4,0.4,27,90
2016-03-27,47,17,47,4,0.4,35,92
2016-03-28,123,70,195,16,0.8,66,77
2016-03-29,62,19,74,5,0.4,33,96
2016-03-30,63,30,76,9,0.6,42,93
2016-03-31,199,149,239,33,1.4,73,118
2016-04-01,93,35,135,6,0.4,26,95
2016-04-02,43,9,28,3,0.2,16,86
2016-04-03,52,20,54,3,0.3,26,93
2016-04-04,103,77,114,12,0.6,48,121
2016-04-05,148,113,146,19,1,52,142
2016-04-06,192,144,182,30,2,71,96
2016-04-07,108,81,112,4,1,43,90
2016-04-08,71,25,92,5,0.4,32,97
2016-04-09,148,73,245,11,0.7,55,95
2016-04-10,121,54,192,13,0.8,43,95
2016-04-11,77,41,103,9,0.6,42,89
2016-04-12,105,79,104,6,0.8,58,76
2016-04-13,158,120,134,7,1,64,104
2016-04-14,76,32,101,4,0.3,28,108
2016-04-15,80,59,107,16,1,58,91
2016-04-17,46,16,35,2,0.3,16,91
2016-04-18,50,19,39,3,0.3,25,100
2016-04-19,98,73,104,20,1.3,65,64
2016-04-20,92,68,102,8,0.9,44,121
2016-04-21,127,96,165,7,0.9,58,124
2016-04-22,74,33,97,2,0.3,23,108
2016-04-23,54,23,58,4,0.3,30,97
2016-04-24,113,85,149,22,0.9,53,152
2016-04-25,119,90,141,14,0.7,34,172
2016-04-26,95,71,124,26,1.4,44,141
2016-04-27,120,91,134,9,1.1,62,115
2016-04-28,122,81,100,7,1,49,184
2016-04-29,168,127,160,17,1.4,65,185
2016-04-30,209,159,168,10,1.4,58,232
2016-05-01,234,184,166,26,2.3,43,236
2016-05-02,82,50,103,2,0.5,20,138
2016-05-03,60,23,70,2,0.4,29,101
2016-05-04,68,29,59,4,0.5,49,121
2016-05-05,102,62,153,14,0.9,43,129
2016-05-06,116,57,182,2,0.2,13,100
2016-05-07,74,23,55,3,0.3,29,128
2016-05-08,97,60,103,15,0.7,44,156
2016-05-09,64,36,64,4,0.5,39,116
2016-05-10,100,43,76,4,0.5,36,160
2016-05-11,200,150,166,12,1.1,36,177
2016-05-12,62,34,45,3,0.5,28,114
2016-05-13,73,32,60,6,0.6,43,127
2016-05-14,58,41,33,3,0.5,35,84
2016-05-15,49,34,33,2,0.5,36,87
2016-05-16,75,24,59,3,0.5,43,129
2016-05-17,162,58,104,11,0.6,52,227
2016-05-18,134,61,101,9,0.5,35,197
2016-05-19,184,86,118,15,0.8,38,249
2016-05-20,171,88,110,20,1.1,49,236
2016-05-21,150,68,83,18,0.8,47,215
2016-05-22,142,49,87,8,0.7,51,206
2016-05-23,95,61,106,14,0.9,45,153
2016-05-24,75,19,44,3,0.4,28,129
2016-05-25,66,13,31,3,0.3,25,119
2016-05-26,63,22,61,2,0.3,31,115
2016-05-27,122,48,104,12,0.6,50,184
2016-05-28,138,48,87,10,0.7,38,201
2016-05-29,95,33,76,5,0.5,30,153
2016-05-30,204,82,147,16,1.1,51,283
2016-05-31,138,45,115,11,0.8,36,201
2016-06-01,108,37,73,6,0.7,42,168
2016-06-02,156,53,88,9,0.8,51,221
2016-06-03,160,82,125,21,1.2,61,225
2016-06-04,179,87,127,16,0.9,38,244
2016-06-05,161,71,98,14,0.9,38,226
2016-06-06,189,87,119,7,0.9,32,254
2016-06-07,127,60,0,2,0.8,25,189
2016-06-08,170,129,129,3,1.2,36,223
2016-06-09,153,106,140,7,1,33,218
2016-06-10,123,52,32,2,0.6,20,185
2016-06-11,64,12,30,2,0.4,25,116
2016-06-12,146,71,100,7,1,33,210
2016-06-13,96,47,0,2,0.6,28,155
2016-06-14,50,35,44,2,0.6,26,95
2016-06-15,92,19,40,2,0.5,30,150
2016-06-16,90,26,59,2,0.6,47,148
2016-06-17,59,24,56,2,0.6,47,103
2016-06-18,145,42,72,4,0.7,44,209
2016-06-19,149,65,98,5,0.8,39,213
2016-06-20,166,85,101,5,1,28,231
2016-06-21,175,85,89,2,0.9,30,240
2016-06-22,150,56,85,2,0.7,32,214
2016-06-23,117,76,102,6,1.1,38,178
2016-06-24,70,13,30,2,0.6,30,123
2016-06-25,59,18,38,2,0.4,32,110
2016-06-26,140,41,77,5,0.5,42,203
2016-06-27,98,60,88,7,0.7,39,157
2016-06-28,98,73,0,2,0.7,32,118
2016-06-29,145,111,0,2,0.9,33,166
2016-06-30,130,60,57,2,0.7,33,192
2016-07-01,82,14,32,2,0.4,25,138
2016-07-02,119,47,71,3,0.7,38,180
2016-07-03,137,83,108,8,1,43,200
2016-07-04,173,131,110,5,1.2,32,216
2016-07-05,161,96,104,5,1,30,226
2016-07-06,155,74,106,5,0.9,35,220
2016-07-07,177,110,125,8,1.2,33,242
2016-07-08,146,91,104,5,1.2,34,210
2016-07-09,143,83,93,4,0.8,32,207
2016-07-10,137,91,86,4,0.8,28,200
2016-07-11,129,86,98,7,0.7,29,191
2016-07-12,52,29,54,4,0.6,29,94
2016-07-13,112,20,43,3,0.5,32,173
2016-07-14,80,35,0,4,0.8,42,135
2016-07-15,52,36,40,2,0.7,30,77
2016-07-16,54,38,53,3,0.8,40,82
2016-07-17,154,79,97,3,1.1,42,219
2016-07-18,139,106,130,4,1.3,52,137
2016-07-19,133,101,0,2,1.3,44,53
2016-07-20,48,33,7,2,0.7,18,57
2016-07-21,40,28,39,2,0.8,27,53
2016-07-22,100,75,81,2,1.1,32,154
2016-07-23,158,120,174,2,1.2,34,180
2016-07-24,131,73,118,3,0.9,34,194
2016-07-25,57,40,38,3,0.8,29,108
2016-07-26,93,21,48,3,0.6,24,151
2016-07-27,168,47,0,2,0.7,35,233
2016-07-28,128,50,81,2,0.7,31,190
2016-07-29,158,120,139,2,1.3,30,217
2016-07-30,170,129,48,2,1.6,32,87
2016-07-31,77,56,82,2,1,32,102
2016-08-01,109,71,100,3,1.3,30,169
2016-08-02,96,49,58,2,1,31,155
2016-08-03,153,59,80,3,1,35,218
2016-08-04,155,101,114,2,1.4,33,220
2016-08-05,103,66,88,3,0.8,29,163
2016-08-06,129,98,96,2,1,32,162
2016-08-07,69,20,34,2,0.6,19,122
2016-08-08,95,32,48,3,0.8,26,154
2016-08-09,135,46,70,6,1.2,37,198
2016-08-10,112,84,97,3,0.9,27,158
2016-08-11,114,86,100,3,0.9,29,156
2016-08-12,79,58,73,4,0.9,38,72
2016-08-13,50,22,35,3,0.7,40,45
2016-08-14,104,22,48,3,0.6,38,164
2016-08-15,45,20,42,2,0.6,29,89
2016-08-16,96,24,41,2,0.6,32,155
2016-08-17,87,64,0,3,1,58,47
2016-08-18,99,74,0,2,1.6,42,43
2016-08-19,67,19,42,2,0.9,25,120
2016-08-20,134,54,70,2,1,38,197
2016-08-21,179,54,74,3,1,40,244
2016-08-22,103,50,66,4,0.9,32,163
2016-08-23,95,71,91,6,0.9,42,135
2016-08-24,109,82,110,3,1.1,48,133
2016-08-25,34,17,23,2,0.4,24,67
2016-08-26,45,11,29,2,0.4,33,90
2016-08-27,48,15,39,3,0.4,38,81
2016-08-28,46,12,32,2,0.3,34,92
2016-08-29,66,19,47,3,0.5,45,119
2016-08-30,109,30,65,3,0.6,48,169
2016-08-31,50,16,37,3,0.5,40,88
2016-09-01,39,8,31,3,0.3,31,72
2016-09-02,39,12,34,2,0.4,31,56
2016-09-03,86,21,45,2,0.5,35,143
2016-09-04,106,79,0,5,1,44,166
2016-09-05,54,28,58,2,0.5,33,94
2016-09-06,NA,0,0,0,0,0,0
2016-09-07,87,40,65,5,0.7,41,144
2016-09-08,55,23,46,2,0.6,44,105
2016-09-09,53,18,39,3,0.5,42,68
2016-09-10,54,17,44,3,0.5,43,92
2016-09-11,65,32,48,2,0.8,29,117
2016-09-12,72,34,51,2,0.8,38,126
2016-09-13,118,89,98,3,1.1,53,137
2016-09-14,130,99,102,4,1.1,50,174
2016-09-15,111,79,100,4,0.9,42,172
2016-09-16,172,130,125,4,1.1,39,187
2016-09-17,57,40,0,2,0.8,37,49
2016-09-18,42,23,22,2,0.6,33,18
2016-09-19,44,12,29,2,0.4,35,74
2016-09-20,59,21,44,3,0.5,47,95
2016-09-21,97,68,117,5,1,77,44
2016-09-22,137,104,129,7,1.1,59,113
2016-09-23,168,127,172,3,1.2,49,182
2016-09-24,156,119,203,4,1.1,54,174
2016-09-25,211,161,193,4,1.5,49,96
2016-09-26,80,59,109,2,1.2,46,61
2016-09-27,33,23,29,2,0.6,24,59
2016-09-28,50,16,38,3,0.4,40,58
2016-09-29,75,53,90,5,0.7,60,95
2016-09-30,135,103,138,7,0.9,76,145
2016-10-01,220,170,202,11,1.3,86,118
2016-10-02,233,183,201,6,1.4,72,132
2016-10-03,159,121,140,3,1.1,58,132
2016-10-04,47,31,44,3,1.1,37,34
2016-10-05,83,61,91,2,1.2,42,57
2016-10-06,95,71,0,4,1.6,48,11
2016-10-07,55,39,17,2,1.6,43,15
2016-10-08,33,13,29,2,0.5,26,60
2016-10-09,67,33,64,4,0.7,53,33
2016-10-10,122,92,127,10,1.2,79,31
2016-10-11,149,114,130,8,1.4,65,62
2016-10-12,107,80,102,6,1.2,64,51
2016-10-13,206,156,189,5,1.6,75,78
2016-10-14,292,242,258,6,2,93,73
2016-10-15,236,186,226,4,1.9,88,4
2016-10-16,153,117,137,3,1,58,55
2016-10-17,85,63,101,2,0.9,53,61
2016-10-18,160,122,158,6,1.8,72,10
2016-10-19,278,228,228,5,2.3,83,38
2016-10-20,115,87,0,6,1.4,54,27
2016-10-21,60,43,0,2,0.8,39,33
2016-10-22,38,15,25,2,0.6,30,36
2016-10-23,55,28,52,4,0.6,44,38
2016-10-24,87,64,113,3,1.2,58,4
2016-10-25,133,101,135,3,1.5,74,8
2016-10-26,69,42,88,4,0.8,50,46
2016-10-27,63,30,66,5,1,50,11
2016-10-28,38,11,29,2,0.4,30,58
2016-10-29,59,26,62,4,0.6,47,42
2016-10-30,66,44,81,5,0.8,42,54
2016-10-31,29,9,25,4,0.3,19,57
2016-11-01,69,45,74,9,0.7,55,37
2016-11-02,140,107,149,10,1.5,82,23
2016-11-03,243,193,241,9,2.6,104,11
2016-11-04,292,242,271,6,3.4,119,12
2016-11-05,230,180,203,5,3.1,95,36
2016-11-06,95,71,97,10,1.2,56,40
2016-11-07,53,37,43,3,0.8,39,50
2016-11-08,67,39,71,7,0.8,53,36
2016-11-09,208,158,194,14,2.5,86,5
2016-11-10,199,149,178,8,1.8,70,15
2016-11-11,110,83,124,7,1.7,65,16
2016-11-12,100,75,124,10,1.5,66,28
2016-11-13,132,100,165,11,2.3,72,4
2016-11-14,62,39,73,4,0.9,35,61
2016-11-15,79,45,84,13,1.5,63,23
2016-11-16,132,100,147,16,2.2,80,21
2016-11-17,149,114,165,22,2.5,70,6
2016-11-18,242,192,280,19,3.7,87,3
2016-11-19,165,125,133,9,1.8,65,49
2016-11-20,70,51,0,4,1.1,41,25
2016-11-21,30,10,21,3,0.4,15,60
2016-11-22,28,8,21,4,0.4,21,55
2016-11-23,44,19,33,8,0.6,35,43
2016-11-24,102,76,107,18,1.5,70,25
2016-11-25,214,164,205,24,2.6,97,8
2016-11-26,315,265,361,22,3.5,117,13
2016-11-27,68,49,80,7,0.9,45,58
2016-11-28,97,63,101,18,1.7,77,16
2016-11-29,129,98,146,26,2.6,81,4
2016-11-30,117,88,128,15,2.1,67,53
2016-12-01,60,33,56,9,0.8,48,57
2016-12-02,129,98,131,19,2.1,85,17
2016-12-03,259,209,272,24,3.4,113,10
2016-12-04,302,252,284,18,3.6,104,17
2016-12-05,60,43,50,8,1,43,61
2016-12-06,112,84,128,21,2.3,92,11
2016-12-07,170,129,169,23,2.7,100,15
2016-12-08,114,86,119,11,1.7,53,66
2016-12-09,54,25,45,9,0.8,43,48
2016-12-10,80,49,74,14,1.4,64,24
2016-12-11,219,169,204,35,3.5,101,8
2016-12-12,271,221,240,39,3,103,15
2016-12-13,68,49,32,9,1.2,50,43
2016-12-14,58,28,51,11,0.8,46,43
2016-12-15,54,27,53,10,0.9,43,59
2016-12-16,149,114,149,22,2.2,92,14
2016-12-17,246,196,224,32,3.3,104,11
2016-12-18,271,221,239,25,3.5,102,14
2016-12-19,273,223,253,22,4.1,111,14
2016-12-20,418,376,415,8,8,135,6
2016-12-21,431,396,415,12,8,155,9
2016-12-22,79,58,57,6,1.3,35,59
2016-12-23,62,34,65,9,0.8,49,39
2016-12-24,160,122,152,26,2.7,90,10
2016-12-25,195,146,168,30,2.8,96,5
2016-12-26,59,41,45,15,0.9,47,50
2016-12-27,59,42,63,9,0.9,45,51
2016-12-28,87,64,64,10,1.1,42,45
2016-12-29,88,65,94,12,1.1,53,31
2016-12-30,262,212,255,19,3.3,100,8
2016-12-31,351,301,356,21,4.6,129,8
2017-01-01,470,454,512,8,6.8,141,6
2017-01-02,248,198,190,13,3.8,102,38
2017-01-03,348,311,339,17,6,153,17
2017-01-04,389,364,389,19,7.5,153,13
2017-01-05,270,223,222,16,5.3,115,11
2017-01-06,248,199,183,23,4.3,110,14
2017-01-07,220,167,128,18,3.3,83,11
2017-01-08,50,34,20,10,1,34,54
2017-01-09,50,36,43,7,0.8,40,47
2017-01-10,42,25,39,8,0.7,36,61
2017-01-11,95,58,79,19,1.7,75,19
2017-01-12,63,41,59,12,1,50,46
2017-01-13,34,8,21,6,0.4,23,69
2017-01-14,56,20,39,11,0.9,45,52
2017-01-15,71,53,70,11,1,50,31
2017-01-16,121,96,108,19,1.8,68,8
2017-01-17,180,137,142,21,2.2,75,21
2017-01-18,62,38,51,11,0.9,52,39
2017-01-19,70,45,86,14,1.2,37,63
2017-01-20,43,25,37,9,0.8,36,57
2017-01-21,49,24,46,9,0.8,29,72
2017-01-22,52,26,36,12,0.9,42,49
2017-01-23,58,36,46,14,1,50,44
2017-01-24,114,90,101,29,2.1,77,29
2017-01-25,224,178,177,39,3.3,95,30
2017-01-26,209,155,164,26,2.7,62,70
2017-01-27,87,78,111,24,0.8,31,77
2017-01-28,398,345,426,84,2.7,71,26
2017-01-29,56,30,65,8,0.7,15,68
2017-01-30,40,29,35,11,0.6,22,72
2017-01-31,104,77,84,27,1.3,43,57
2017-02-01,51,38,57,16,0.6,29,62
2017-02-02,103,83,98,30,1.6,63,50
2017-02-03,210,166,179,45,2.7,87,49
2017-02-04,305,245,240,48,3.4,94,52
2017-02-05,43,12,14,7,0.5,25,86
2017-02-06,36,15,26,8,0.5,31,68
2017-02-07,103,80,93,21,1.6,62,40
2017-02-08,49,30,44,7,0.8,25,76
2017-02-09,38,7,20,3,0.3,12,76
2017-02-10,42,7,23,3,0.4,17,85
2017-02-11,65,53,80,21,1,49,77
2017-02-12,137,107,139,42,2.4,81,43
2017-02-13,108,85,107,25,2.1,70,70
2017-02-14,230,185,188,32,2.9,101,20
2017-02-15,281,243,220,38,3.2,112,49
2017-02-16,135,100,95,18,1.4,53,66
2017-02-17,41,24,41,8,0.6,32,80
2017-02-18,113,88,124,27,1.7,77,52
2017-02-19,128,94,139,23,1.5,59,83
2017-02-20,36,13,34,5,0.5,27,72
2017-02-21,82,62,74,15,1.3,59,31
2017-02-22,103,76,64,7,1.1,40,68
2017-02-23,41,19,30,7,0.6,36,78
2017-02-24,57,25,37,9,0.8,47,76
2017-02-25,43,11,22,6,0.5,32,86
2017-02-26,66,29,47,10,0.8,54,72
2017-02-27,97,67,96,17,1.5,80,54
2017-02-28,43,14,28,6,0.6,34,87
2017-03-01,47,8,37,3,0.4,13,94
2017-03-02,67,40,80,13,0.9,54,70
2017-03-03,111,82,138,23,1.5,68,60
2017-03-04,113,87,108,26,1.7,74,82
2017-03-05,42,12,30,4,0.4,19,84
2017-03-06,45,17,43,6,0.7,34,81
2017-03-07,40,7,23,3,0.4,15,80
2017-03-08,45,10,30,3,0.5,24,90
2017-03-09,46,13,35,4,0.5,39,83
2017-03-10,77,34,65,12,0.9,64,88
2017-03-11,65,44,80,15,0.9,48,89
2017-03-12,44,7,27,3,0.3,13,88
2017-03-13,43,11,28,5,0.5,32,87
2017-03-14,51,21,52,8,0.6,43,85
2017-03-15,86,65,96,22,1.2,69,77
2017-03-16,148,115,156,25,1.4,88,83
2017-03-17,160,125,162,19,1.1,71,81
2017-03-18,190,146,162,16,1.2,68,139
2017-03-19,273,222,217,33,2.1,81,150
2017-03-20,182,137,126,19,1.4,75,60
2017-03-21,113,87,123,7,0.8,48,98
2017-03-22,175,140,178,19,1.3,81,74
2017-03-23,160,121,90,6,1.7,60,52
2017-03-24,80,60,31,2,1,49,50
2017-03-25,48,34,28,3,0.8,36,82
2017-03-26,44,12,27,3,0.4,23,89
2017-03-27,43,17,34,3,0.4,37,87
2017-03-28,80,60,93,9,0.7,54,100
2017-03-29,148,118,141,11,0.9,65,111
2017-03-30,114,86,129,16,1.2,57,85
2017-03-31,47,20,42,4,0.5,34,86
2017-04-01,67,31,78,7,0.6,52,88
2017-04-02,91,68,112,14,1.1,72,97
2017-04-03,165,125,170,21,1.3,78,159
2017-04-04,174,130,147,20,1.2,62,90
2017-04-05,81,61,57,5,0.6,30,129
